Zip,Name,Region,State
79912,WEST,R1,TX
79911,WEST,R1,TX
79835,WEST,R1,TX
79922,WEST,R1,TX
77932,WEST,R1,TX
79821,WEST,R1,TX
88008,WEST,R1,NM
88021,WEST,R1,NM
79904,NORTHEAST,R2,TX
79924,NORTHEAST,R2,TX
79934,NORTHEAST,R2,TX
88081,NORTHEAST,R2,NM
79930,CENTRAL,R3,TX
79920,CENTRAL,R3,TX
79902,CENTRAL,R3,TX
79968,CENTRAL,R3,TX
79901,CENTRAL,R3,TX
79903,CENTRAL,R3,TX
79905,CENTRAL,R3,TX
79925,EAST,R4,TX
79935,EAST,R4,TX
79936,EAST,R4,TX
79915,EAST,R4,TX
79907,EAST,R4,TX
79927,LOWER VALLEY,R5,TX
79849,LOWER VALLEY,R5,TX
49838,LOWER VALLEY,R5,TX
79853,LOWER VALLEY,R5,TX
79938,FAR EAST,R6,TX
79928,FAR EAST,R6,TX
79836,FAR EAST,R6,TX
79916,FORT BLISS,R7,TX
77918,FORT BLISS,R7,TX
79906,FORT BLISS,R7,TX
79908,FORT BLISS,R7,TX
